latitude,longitude,location
2.3804,102.2089,Alor Gajah
6.1214,100.3674,Alor Setar
5.3111,100.2228,Balik Pulau
3.8333,103.3333,Balok Baru Kuantan
2.1896,102.2501,Bandaraya Melaka
2.8186,101.5320,Banting
3.2200,101.6900,Batu Muda
1.8540,102.9310,Batu Pahat
5.8018,102.5606,Besut
3.1711,113.0285,Bintulu
2.2167,102.2500,Bukit Rambai
3.0717,101.7586,Cheras
3.8340,103.3440,Indera Mahkota Kuantan
3.9728,102.3652,Jerantut
6.4406,100.1999,Kangar
2.0000,112.9500,Kapit
4.2486,103.3783,Kemaman
5.3386,116.1769,Keningau
5.2000,115.9833,Kimanis
3.0333,101.4500,Klang
2.0333,103.3167,Kluang
6.1240,102.2400,Kota Bharu
5.9804,116.0735,Kota Kinabalu
1.7375,103.8536,Kota Tinggi
3.2933,101.2433,Kuala Selangor
5.3300,103.1400,Kuala Terengganu
1.5491,110.3592,Kuching
5.3670,100.5330,Kulim
5.2800,115.2500,Labuan
6.3500,99.8500,Langkawi
1.4800,103.7700,Larkin
4.7500,115.0000,Limbang
5.3580,100.2860,Minden
4.3996,113.9914,Miri
2.0475,102.5647,Muar
2.9167,112.0333,Mukah
2.8333,101.8000,Nilai
4.4000,103.4333,Paka
1.4817,103.9106,Pasir Gudang
4.6060,101.0830,Pegoh Ipoh
1.3647023,104.1111109,Pengerang
3.1073,101.6067,Petaling Jaya
2.5183,101.8036,Port Dickson
2.9200,101.6500,Putrajaya
2.8167,103.4000,Rompin
3.1780,113.0840,Samalaju
1.4684,110.2860,Samarahan
5.8408,118.0598,Sandakan
2.11667,111.51667,Sarikei
5.3676,100.4383,Seberang Jaya
5.4019,100.4444,Seberang Perai
2.5236,102.8388,Segamat
2.7256,101.9386,Seremban
4.2044,100.6750,Seri Manjung
3.0738,101.5183,Shah Alam
2.2872,111.8305,Sibu
1.4875,111.4392,Sri Aman
5.6499,100.4835,Sungai Petani
4.8535,100.7378,Taiping
5.808886999999999, 102.1470772,Tanah Merah
2.3833,102.5650,Tangkak
3.6962015, 101.5199459,Tanjung Malim
4.5950,101.0700,Tasek Ipoh
4.2449,117.8916,Tawau
3.4376,102.3956,Temerloh
